Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1260.00,39.75,51.75,39.75,48.50,48.00,48.50,400.00,2616.14,96.14,157500.00,10500.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1400.00,5.45,7.60,5.45,7.25,7.05,7.25,1380.00,9707.87,47.87,1222500.00,50000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1120.00,-,-,-,170.00,170.00,158.20,-,-,-,500.00,-,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1270.00,35.30,46.05,35.30,43.10,43.00,43.10,104.00,682.58,22.18,32000.00,24000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1130.00,-,-,-,116.05,-,148.95,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1420.00,5.25,5.70,5.00,5.35,5.35,5.35,53.00,377.70,1.40,46000.00,17000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1140.00,-,-,-,165.40,-,139.90,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1280.00,29.95,40.40,29.95,38.20,38.00,38.20,153.00,1007.38,28.18,82500.00,-4000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1150.00,135.00,135.00,135.00,135.00,135.00,131.00,1.00,6.43,0.68,500.00,500.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1290.00,33.45,34.90,30.40,34.00,34.00,34.00,46.00,304.26,7.56,21500.00,2000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1440.00,3.50,4.35,3.25,4.10,4.35,4.10,80.00,577.60,1.60,55000.00,28000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1160.00,123.35,123.35,123.35,123.35,123.35,122.30,1.00,6.42,0.62,1500.00,-,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1300.00,21.95,31.40,20.60,29.55,29.20,29.55,2801.00,18599.11,392.61,1184500.00,80500.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1460.00,3.00,3.90,2.60,3.60,3.60,3.60,15.00,109.74,0.24,4500.00,2000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1170.00,-,-,-,87.65,-,113.80,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1310.00,22.00,26.15,21.60,24.65,24.65,28.20,30.00,200.01,3.51,20500.00,5500.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1480.00,2.60,3.45,1.85,2.25,1.85,2.25,15.00,111.20,0.20,16500.00,2000.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1180.00,-,-,-,117.00,117.00,105.55,-,-,-,1000.00,-,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1320.00,16.75,23.30,16.75,22.30,21.95,22.30,356.00,2386.95,37.35,140500.00,70500.00,1265.50
RELIANCE,08-Jan-2025,27-Feb-2025,CE,1520.00,1.80,2.00,1.30,1.80,1.75,1.80,361.00,2746.61,3.01,210000.00,53000.00,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1160.00,-,-,-,107.60,-,132.95,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1280.00,-,-,-,46.15,-,54.25,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1400.00,11.15,15.45,11.15,14.75,14.60,14.75,110.00,777.72,7.72,80500.00,16000.00,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1000.00,-,-,-,237.65,-,280.15,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1180.00,-,-,-,94.95,-,117.20,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1300.00,36.30,44.00,36.30,42.50,42.20,42.50,139.00,931.86,28.36,116500.00,22000.00,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1440.00,11.35,14.00,10.65,11.75,11.75,11.75,112.00,813.34,6.94,42500.00,31500.00,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1040.00,-,-,-,201.40,-,241.30,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1320.00,-,-,-,33.05,-,37.20,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1200.00,95.00,106.00,95.00,105.15,105.15,105.15,21.00,136.44,10.44,13500.00,-5000.00,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1080.00,-,-,-,167.25,-,203.35,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1220.00,-,-,-,72.50,-,88.60,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1100.00,-,-,-,151.15,-,184.90,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1240.00,-,-,-,62.75,-,76.00,-,-,-,-,-,1265.50
RELIANCE,08-Jan-2025,27-Mar-2025,CE,1360.00,-,-,-,23.20,-,24.50,-,-,-,-,-,1265.50
