date,mu_mean,mu_var,vol-of-vol_mean,vol-of-vol_var,kappa_mean,kappa_var,theta_mean,theta_var,rho_mean,rho_var,lambda_mean,lambda_var,v_t_mean,v_t_var
February 12th, 2025,0.109437,2.96753,7.259,318.594,5.83712,5.75593,0.382888,0.343744,-0.903394,0.00545023,-0.215928,1.44606,0.0705992,0.00176263,
February 13th, 2025,0.707093,0.5255,2.58813,3.14194,5.39802,6.66139,0.272621,0.0561792,-0.9087,0.00213696,-0.427254,1.21629,0.0782719,0.000539704,
February 14th, 2025,0.282657,0.800525,1.97326,0.909308,5.4614,6.64821,0.174272,0.00726574,-0.905464,0.00293109,-0.436475,1.29743,0.0730053,0.000125917,
February 17th, 2025,0.059059,0.842966,2.213,0.99882,4.90852,7.17725,0.195142,0.00808499,-0.894223,0.00312022,-0.679214,1.41695,0.0699309,6.31245e-05,
February 18th, 2025,0.593543,1.10727,2.10357,0.876494,4.99854,6.20966,0.220135,0.0155819,-0.887147,0.00554832,-0.623366,1.25759,0.0551891,0.000748296,
February 19th, 2025,1.2754,0.890216,2.26176,0.766354,3.07865,3.60619,1.44508,16.2619,-0.84871,0.00814941,-0.854254,1.63334,0.0263581,0.000285267,
February 20th, 2025,1.02157,1.10695,1.90464,0.780134,2.86592,1.60954,0.365489,0.0116444,-0.866304,0.00946611,-0.537076,1.34694,0.012238,0.00015863,
February 21st, 2025,0.290506,0.74851,2.04247,0.706771,3.26275,1.42941,0.32376,0.0106902,-0.873673,0.00627942,-0.140946,0.636001,0.0133917,6.69808e-05,
February 24th, 2025,0.285457,0.789205,14.068,179.983,5.3502,40.9496,1.64956,2.23184,-0.948521,0.00951567,-1.0108,1.62303,0.0838041,0.00400847,
February 25th, 2025,-0.432953,0.219533,14.5821,90.0834,3.02534,20.4478,2.80438,1.47172,-0.986648,0.00106194,-0.544231,1.01041,0.208715,0.0260157,
February 27th, 2025,-0.494075,0.029627,12.1106,23.8303,1.57185,2.72696,3.21325,0.911608,-0.993023,0.000197756,-0.173049,0.263735,0.114931,0.00721042,
February 28th, 2025,-0.219321,0.0495861,4.4418,5.46521,3.40143,29.97,0.278212,0.0685634,-0.838364,0.0110353,-0.0451412,0.732203,0.163473,0.00471298,
March 3rd, 2025,-0.135244,0.0132709,2.81012,1.7859,1.12131,11.0398,0.547413,0.0218616,-0.786351,0.00361157,-0.211945,0.167954,0.0981044,0.00750604,
March 4th, 2025,-0.136081,0.225023,9.71343,3288.53,0.705473,18.6966,2.22938,324.284,-0.771643,0.00160757,-0.268721,0.422006,0.214333,0.803378,
March 5th, 2025,-0.118385,6.66745e-05,2.48366,0.000162809,0.329581,0.000497578,0.595506,2.08195e-06,-0.764112,4.17127e-05,-0.235286,4.50803e-18,0.0733721,0.000398655,
March 6th, 2025,0.287753,0.669425,2.41629,0.193095,0.879514,0.602211,0.403301,0.0641576,-0.619667,0.038021,-0.564172,0.621018,0.04772,5.44985e-05,
March 7th, 2025,0.962926,0.223329,0.762379,1.0212,11.1355,81.1579,0.0311885,0.00159057,0.3108,0.200136,-0.735047,2.02627,0.0390613,0.000163526,
March 10th, 2025,0.871438,0.0505083,0.455067,0.669063,11.9398,82.5487,0.0264023,0.00134828,0.518899,0.11808,-0.301641,2.53302,0.0386593,6.75232e-05,
March 11th, 2025,0.78909,0.0516718,0.286099,0.183762,8.74336,85.4134,0.0214178,0.000385359,0.68417,0.0824708,0.448863,2.96529,0.0341879,3.43564e-05,
March 12th, 2025,0.637824,0.0448176,0.254637,0.000969938,3.8397,46.8494,0.0228039,2.46597e-05,0.845667,0.0325439,1.40517,1.7427,0.0312045,6.34967e-06,
March 13th, 2025,0.605375,0.0326114,0.255208,0.000620105,2.47223,28.0017,0.0225833,1.53187e-05,0.882321,0.0190522,1.65803,1.08241,0.0290348,4.02549e-06,
March 17th, 2025,0.5865,0.0162246,0.252033,0.000888247,1.43213,11.843,0.0231303,8.11311e-06,0.910625,0.00765682,1.85559,0.480774,0.0272338,2.47388e-06,
March 18th, 2025,0.58646,0.00698791,0.253566,0.00110091,1.02166,5.00548,0.023695,3.5503e-06,0.924659,0.00336367,1.94305,0.205807,0.0270377,2.34668e-06,
March 19th, 2025,0.576458,0.0107767,0.265899,0.000380119,1.40048,8.04836,0.0238559,8.64143e-06,0.924958,0.00441187,1.83475,0.331256,0.0295151,4.2283e-06,
March 20th, 2025,0.585904,4.73479e-05,0.270001,1.24337e-05,0.728905,0.000555576,0.0247911,2.94363e-07,0.933512,1.14405e-05,2.00513,-1.35516e-15,0.0332405,5.39672e-08,
March 21st, 2025,0.589754,6.57167e-05,0.260198,0.000123091,0.714184,0.00109647,0.0239414,1.34827e-06,0.935488,2.08373e-05,2.00513,-4.62427e-16,0.034279,1.5671e-06,
March 24th, 2025,-0.21807,0.34288,0.0930321,0.0181942,25.0255,110.336,0.00820498,4.43376e-05,0.877788,0.00208018,-0.462173,1.76887,0.062689,0.000205175,
March 25th, 2025,-0.459043,0.556252,0.144012,0.0270179,20.7343,177.34,0.0111513,8.47684e-05,0.895012,0.00312271,0.0824877,2.84804,0.050198,0.000271356,
March 26th, 2025,-0.934295,0.632412,0.242655,0.0296142,12.1846,201.263,0.0171168,9.08079e-05,0.938139,0.00386729,1.16662,3.23026,0.0359095,0.000227861,
March 27th, 2025,-1.25999,0.417908,0.31057,0.0196113,6.33288,133.537,0.0211192,5.95972e-05,0.964779,0.00248206,1.90649,2.1416,0.0316181,7.08482e-05,
March 28th, 2025,0.0465994,0.564807,0.448407,0.0157713,9.37291,22.8571,0.0606991,0.000637726,0.912132,0.00247272,0.151307,0.183216,0.00572849,3.1855e-05,
