Date,Expiry,Strike Price,Close
01-Jan-2025,27-Mar-2025,1260.0,53.95
01-Jan-2025,27-Mar-2025,1140.0,121.3
01-Jan-2025,27-Mar-2025,1120.0,135.8
01-Jan-2025,27-Mar-2025,1360.0,23.2
01-Jan-2025,27-Mar-2025,1240.0,62.75
01-Jan-2025,27-Mar-2025,1220.0,72.5
01-Jan-2025,27-Mar-2025,1100.0,151.15
01-Jan-2025,27-Mar-2025,1340.0,23.0
01-Jan-2025,27-Mar-2025,1080.0,167.25
01-Jan-2025,27-Mar-2025,1320.0,33.05
01-Jan-2025,27-Mar-2025,1200.0,76.0
01-Jan-2025,27-Mar-2025,1440.0,7.6
01-Jan-2025,27-Mar-2025,1300.0,31.0
01-Jan-2025,27-Mar-2025,1040.0,201.4
01-Jan-2025,27-Mar-2025,1180.0,94.95
01-Jan-2025,27-Mar-2025,1000.0,237.65
01-Jan-2025,27-Mar-2025,1400.0,10.8
01-Jan-2025,27-Mar-2025,1280.0,46.15
01-Jan-2025,27-Mar-2025,1160.0,107.6
01-Jan-2025,27-Feb-2025,1520.0,1.65
01-Jan-2025,27-Feb-2025,1320.0,13.1
01-Jan-2025,27-Feb-2025,1180.0,117.0
01-Jan-2025,27-Feb-2025,1310.0,24.25
01-Jan-2025,27-Feb-2025,1170.0,87.65
01-Jan-2025,27-Feb-2025,1480.0,2.45
01-Jan-2025,27-Feb-2025,1300.0,17.6
01-Jan-2025,27-Feb-2025,1160.0,95.8
01-Jan-2025,27-Feb-2025,1440.0,3.0
01-Jan-2025,27-Feb-2025,1290.0,30.0
01-Jan-2025,27-Feb-2025,1150.0,101.35
01-Jan-2025,27-Feb-2025,1280.0,23.35
01-Jan-2025,27-Feb-2025,1140.0,165.4
01-Jan-2025,27-Feb-2025,1420.0,24.9
01-Jan-2025,27-Feb-2025,1270.0,25.6
01-Jan-2025,27-Feb-2025,1130.0,116.05
01-Jan-2025,27-Feb-2025,1400.0,4.8
01-Jan-2025,27-Feb-2025,1260.0,29.55
01-Jan-2025,27-Feb-2025,1120.0,170.0
01-Jan-2025,27-Feb-2025,1250.0,34.25
01-Jan-2025,27-Feb-2025,1110.0,131.75
01-Jan-2025,27-Feb-2025,1240.0,38.5
01-Jan-2025,27-Feb-2025,1100.0,135.0
01-Jan-2025,27-Feb-2025,1380.0,34.8
01-Jan-2025,27-Feb-2025,1230.0,45.5
01-Jan-2025,27-Feb-2025,1090.0,148.3
01-Jan-2025,27-Feb-2025,1360.0,7.4
01-Jan-2025,27-Feb-2025,1080.0,216.25
01-Jan-2025,27-Feb-2025,1060.0,234.25
01-Jan-2025,27-Feb-2025,1220.0,49.5
01-Jan-2025,27-Feb-2025,1210.0,55.1
01-Jan-2025,27-Feb-2025,1040.0,252.6
01-Jan-2025,27-Feb-2025,1020.0,271.3
01-Jan-2025,27-Feb-2025,1340.0,10.0
01-Jan-2025,27-Feb-2025,1200.0,60.85
01-Jan-2025,27-Feb-2025,1330.0,19.5
01-Jan-2025,27-Feb-2025,1190.0,67.5
01-Jan-2025,30-Jan-2025,1060.0,292.85
01-Jan-2025,30-Jan-2025,1040.0,181.0
01-Jan-2025,30-Jan-2025,1020.0,331.15
01-Jan-2025,30-Jan-2025,1000.0,230.0
01-Jan-2025,30-Jan-2025,1090.0,198.1
01-Jan-2025,30-Jan-2025,1080.0,274.0
01-Jan-2025,30-Jan-2025,1270.0,10.45
01-Jan-2025,30-Jan-2025,1460.0,0.5
01-Jan-2025,30-Jan-2025,1260.0,13.25
01-Jan-2025,30-Jan-2025,1250.0,16.75
01-Jan-2025,30-Jan-2025,1440.0,0.5
01-Jan-2025,30-Jan-2025,1430.0,0.65
01-Jan-2025,30-Jan-2025,1240.0,21.15
01-Jan-2025,30-Jan-2025,1230.0,26.05
01-Jan-2025,30-Jan-2025,1420.0,0.65
01-Jan-2025,30-Jan-2025,1410.0,0.7
01-Jan-2025,30-Jan-2025,1220.0,31.5
01-Jan-2025,30-Jan-2025,1400.0,0.8
01-Jan-2025,30-Jan-2025,1210.0,37.45
01-Jan-2025,30-Jan-2025,1200.0,44.4
01-Jan-2025,30-Jan-2025,1390.0,0.85
01-Jan-2025,30-Jan-2025,1380.0,1.05
01-Jan-2025,30-Jan-2025,1190.0,51.55
01-Jan-2025,30-Jan-2025,1370.0,1.1
01-Jan-2025,30-Jan-2025,1360.0,1.3
01-Jan-2025,30-Jan-2025,1180.0,59.3
01-Jan-2025,30-Jan-2025,1170.0,67.55
01-Jan-2025,30-Jan-2025,1350.0,1.65
01-Jan-2025,30-Jan-2025,1160.0,76.55
01-Jan-2025,30-Jan-2025,1150.0,84.95
01-Jan-2025,30-Jan-2025,1340.0,1.9
01-Jan-2025,30-Jan-2025,1330.0,2.4
01-Jan-2025,30-Jan-2025,1140.0,92.0
01-Jan-2025,30-Jan-2025,1130.0,162.5
01-Jan-2025,30-Jan-2025,1320.0,3.1
01-Jan-2025,30-Jan-2025,1120.0,237.15
01-Jan-2025,30-Jan-2025,1110.0,120.15
01-Jan-2025,30-Jan-2025,1310.0,4.0
01-Jan-2025,30-Jan-2025,1300.0,5.25
01-Jan-2025,30-Jan-2025,1100.0,131.5
01-Jan-2025,30-Jan-2025,1520.0,0.3
01-Jan-2025,30-Jan-2025,1500.0,0.3
01-Jan-2025,30-Jan-2025,1480.0,0.45
01-Jan-2025,30-Jan-2025,1290.0,6.5
01-Jan-2025,30-Jan-2025,1280.0,8.3
02-Jan-2025,27-Feb-2025,1120.0,170.0
02-Jan-2025,27-Feb-2025,1250.0,42.15
02-Jan-2025,27-Feb-2025,1110.0,131.75
02-Jan-2025,27-Feb-2025,1240.0,47.85
02-Jan-2025,27-Feb-2025,1100.0,135.0
02-Jan-2025,27-Feb-2025,1380.0,34.8
02-Jan-2025,27-Feb-2025,1230.0,52.8
02-Jan-2025,27-Feb-2025,1090.0,148.3
02-Jan-2025,27-Feb-2025,1080.0,216.25
02-Jan-2025,27-Feb-2025,1360.0,9.25
02-Jan-2025,27-Feb-2025,1220.0,59.3
02-Jan-2025,27-Feb-2025,1060.0,234.25
02-Jan-2025,27-Feb-2025,1210.0,66.2
02-Jan-2025,27-Feb-2025,1040.0,252.6
02-Jan-2025,27-Feb-2025,1020.0,238.5
02-Jan-2025,27-Feb-2025,1340.0,12.45
02-Jan-2025,27-Feb-2025,1200.0,73.5
02-Jan-2025,27-Feb-2025,1330.0,19.5
02-Jan-2025,27-Feb-2025,1190.0,67.9
02-Jan-2025,30-Jan-2025,1060.0,292.85
02-Jan-2025,30-Jan-2025,1040.0,181.0
02-Jan-2025,30-Jan-2025,1020.0,331.15
02-Jan-2025,30-Jan-2025,1000.0,229.0
02-Jan-2025,30-Jan-2025,1090.0,198.1
02-Jan-2025,30-Jan-2025,1080.0,274.0
02-Jan-2025,30-Jan-2025,1270.0,15.7
02-Jan-2025,30-Jan-2025,1480.0,0.4
02-Jan-2025,30-Jan-2025,1460.0,0.55
02-Jan-2025,30-Jan-2025,1260.0,19.55
02-Jan-2025,30-Jan-2025,1250.0,24.2
02-Jan-2025,30-Jan-2025,1440.0,0.6
02-Jan-2025,30-Jan-2025,1430.0,0.65
02-Jan-2025,30-Jan-2025,1240.0,29.65
02-Jan-2025,30-Jan-2025,1230.0,35.7
02-Jan-2025,30-Jan-2025,1420.0,0.75
02-Jan-2025,30-Jan-2025,1410.0,0.95
02-Jan-2025,30-Jan-2025,1220.0,42.4
02-Jan-2025,30-Jan-2025,1400.0,1.0
02-Jan-2025,30-Jan-2025,1210.0,49.9
02-Jan-2025,30-Jan-2025,1200.0,57.6
02-Jan-2025,30-Jan-2025,1390.0,1.2
02-Jan-2025,30-Jan-2025,1380.0,1.4
02-Jan-2025,30-Jan-2025,1190.0,65.95
02-Jan-2025,30-Jan-2025,1370.0,1.55
02-Jan-2025,30-Jan-2025,1360.0,1.9
02-Jan-2025,30-Jan-2025,1180.0,74.25
02-Jan-2025,30-Jan-2025,1170.0,82.5
02-Jan-2025,30-Jan-2025,1350.0,2.35
02-Jan-2025,30-Jan-2025,1160.0,91.55
02-Jan-2025,30-Jan-2025,1150.0,100.75
02-Jan-2025,30-Jan-2025,1340.0,2.9
02-Jan-2025,30-Jan-2025,1330.0,3.75
02-Jan-2025,30-Jan-2025,1140.0,108.7
02-Jan-2025,30-Jan-2025,1130.0,162.5
02-Jan-2025,30-Jan-2025,1320.0,4.9
02-Jan-2025,30-Jan-2025,1120.0,237.15
02-Jan-2025,30-Jan-2025,1310.0,6.2
02-Jan-2025,30-Jan-2025,1300.0,7.95
02-Jan-2025,30-Jan-2025,1110.0,120.15
02-Jan-2025,30-Jan-2025,1100.0,148.05
02-Jan-2025,30-Jan-2025,1520.0,0.3
02-Jan-2025,30-Jan-2025,1500.0,0.35
02-Jan-2025,30-Jan-2025,1290.0,10.0
02-Jan-2025,30-Jan-2025,1280.0,12.5
02-Jan-2025,27-Mar-2025,1260.0,53.95
02-Jan-2025,27-Mar-2025,1140.0,121.3
02-Jan-2025,27-Mar-2025,1120.0,135.8
02-Jan-2025,27-Mar-2025,1360.0,23.2
02-Jan-2025,27-Mar-2025,1240.0,62.75
02-Jan-2025,27-Mar-2025,1220.0,72.5
02-Jan-2025,27-Mar-2025,1100.0,151.15
02-Jan-2025,27-Mar-2025,1340.0,23.0
02-Jan-2025,27-Mar-2025,1080.0,167.25
02-Jan-2025,27-Mar-2025,1320.0,33.05
02-Jan-2025,27-Mar-2025,1200.0,89.5
02-Jan-2025,27-Mar-2025,1440.0,10.6
02-Jan-2025,27-Mar-2025,1300.0,37.35
02-Jan-2025,27-Mar-2025,1040.0,201.4
02-Jan-2025,27-Mar-2025,1180.0,94.95
02-Jan-2025,27-Mar-2025,1000.0,237.65
02-Jan-2025,27-Mar-2025,1400.0,12.75
02-Jan-2025,27-Mar-2025,1280.0,46.15
02-Jan-2025,27-Mar-2025,1160.0,107.6
02-Jan-2025,27-Feb-2025,1520.0,2.0
02-Jan-2025,27-Feb-2025,1320.0,16.65
02-Jan-2025,27-Feb-2025,1180.0,117.0
02-Jan-2025,27-Feb-2025,1480.0,2.4
02-Jan-2025,27-Feb-2025,1310.0,24.25
02-Jan-2025,27-Feb-2025,1170.0,87.65
02-Jan-2025,27-Feb-2025,1300.0,22.5
02-Jan-2025,27-Feb-2025,1160.0,95.8
02-Jan-2025,27-Feb-2025,1290.0,25.0
02-Jan-2025,27-Feb-2025,1440.0,3.35
02-Jan-2025,27-Feb-2025,1280.0,28.95
02-Jan-2025,27-Feb-2025,1150.0,101.35
02-Jan-2025,27-Feb-2025,1420.0,4.5
02-Jan-2025,27-Feb-2025,1140.0,165.4
02-Jan-2025,27-Feb-2025,1270.0,30.0
02-Jan-2025,27-Feb-2025,1130.0,116.05
02-Jan-2025,27-Feb-2025,1400.0,5.95
02-Jan-2025,27-Feb-2025,1260.0,37.25
