date,kappa,theta,vol-of-vol,rho,v0
January 1st, 2025,3.64255,0.0203643,0.295971,-0.525002,0.034362
January 2nd, 2025,3.64255,0.0203643,0.295971,-0.525002,0.0410594
January 3rd, 2025,3.64255,0.0203643,0.295971,-0.525002,0.0444137
January 1st, 2025,3.59219,0.0425155,0.384914,-0.480746,0.0648079
January 2nd, 2025,3.59219,0.0425155,0.384914,-0.480746,0.0405796
January 3rd, 2025,3.59219,0.0425155,0.384914,-0.480746,0.0381053
