date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-23,07,BNB-231027-205-P,BNBUSDT,P,231027-205,0.80000000,0.90000000,0.40000000,0.40000000,29.97000000,29.97000000,0.20000000,0.40000000,15.74000000,36.11000000,"",0.47141492,0.20000000,0.43711662,-0.06522312,0.01265955,0.02920735,-0.15958728,59.87000000,13134.62712995
2023-10-23,00,BNB-231027-210-P,BNBUSDT,P,231027-210,1.70000000,1.70000000,1.70000000,1.70000000,0.85000000,0.85000000,1.00000000,1.10000000,0.10000000,50.00000000,"",0.42494476,1.00000000,0.41714191,-0.18925979,0.02741487,0.06408448,-0.31144371,156.81000000,34240.54578067
2023-10-23,01,BNB-231027-230-C,BNBUSDT,C,231027-230,0.50000000,1.00000000,0.50000000,0.70000000,438.26000000,438.26000000,0.80000000,1.20000000,17.40000000,50.00000000,"",0.50423563,0.90000000,0.47082186,0.17083845,0.02282907,0.05995383,-0.33208818,1246.99000000,272827.29481374
2023-10-23,03,BNB-231027-195-P,BNBUSDT,P,231027-195,0.20000000,0.30000000,0.20000000,0.30000000,693.45000000,693.45000000,0E-8,0.20000000,0E-8,50.00000000,"",0.66908062,0.90000000,0.93454031,-0.08762173,0.00717632,0.03778337,-0.42371982,1498.56000000,332816.20792224
2023-10-23,12,BNB-231027-210-P,BNBUSDT,P,231027-210,1.00000000,1.00000000,1.00000000,1.00000000,0.10000000,0.10000000,0.40000000,0.50000000,21.59000000,0.85000000,"",0.38573563,0.50000000,0.40000000,-0.12459814,0.02290820,0.04603742,-0.24283403,156.91000000,34499.03427516
2023-10-23,17,BNB-231027-205-C,BNBUSDT,C,231027-205,11.50000000,11.90000000,11.50000000,11.90000000,0.24000000,0.24000000,12.90000000,16.50000000,10.22000000,5.00000000,"",0.66980839,15.90000000,0.53490419,0.91992596,0.01272824,0.03250779,-0.24263017,7.49000000,1652.18539695
2023-10-23,05,BNB-231027-215-P,BNBUSDT,P,231027-215,4.40000000,4.40000000,2.90000000,2.90000000,2.47000000,2.47000000,0.80000000,1.30000000,22.43000000,50.00000000,"",0.40974677,1.20000000,0.40487338,-0.22565193,0.03162105,0.07048826,-0.34945397,17.79000000,3946.54088145
2023-10-23,09,BNB-231027-220-P,BNBUSDT,P,231027-220,7.70000000,7.70000000,5.80000000,5.80000000,2.00000000,2.00000000,3.00000000,4.20000000,8.72000000,50.00000000,"",0.42620659,4.00000000,0.41310329,-0.51882923,0.04245289,0.09054950,-0.47752578,3.26000000,714.97940164
2023-10-23,22,BNB-231027-180-C,BNBUSDT,C,231027-180,33.40000000,48.00000000,33.40000000,48.00000000,2.02000000,2.02000000,40.50000000,54.90000000,21.95000000,11.61000000,"",2.69683838,50.20000000,1.20000000,0.98552709,0.00138333,0.00812400,-0.14442619,2.17000000,498.48836962
2023-10-23,00,BNB-231027-190-P,BNBUSDT,P,231027-190,0.10000000,0.20000000,0.10000000,0.20000000,1069.48000000,1069.48000000,0.10000000,0.20000000,32.59000000,50.00000000,"",0.69723845,0.10000000,0.65994829,-0.02403840,0.00361993,0.01338731,-0.10293095,1107.28000000,241782.23029154
2023-10-23,07,BNB-231027-200-P,BNBUSDT,P,231027-200,0.40000000,0.40000000,0.40000000,0.40000000,17.00000000,17.00000000,0.10000000,0.20000000,1.00000000,13.24000000,"",0.51721156,0.10000000,0.48726857,-0.03246462,0.00648832,0.01668697,-0.10163764,245.24000000,53802.17065893
